"Name of Plant or Organization","Location","Date of Knowledge"
"Novo-Kramatorsky Zavod Tyazhologo Mashinostroeniya imeni Stalina (N K M Z imeni Stalina)","Kramatorskaya in Donets Basin","1941 and 1946"
"Novo-Kramatorsky Zavod Tyazhologo Mashinostroeniya imeni Stalina in the town of Electrostal (N K M Z imeni Stalina in the town of Electrostal)","Electrostal, Moscow Region","1945, 1946 and 1947"
"Staro-Kramatorsky Zavod Tyazhologo Mashinostroeniya imeni Ordzhonikidze (S K M Z imeni Ordzhonikidze)","Kramatorskaya in Donets Basin","1934, 1941 and 1946"
"Metallurgitchesky Zavod imeni Kuibysheva","Kramatorskaya in Donets Basin","1941"
"Kramatorsky Zavod Tyazhologo Stankostroyeniya","Kramatorskaya in Donets Basin, Novosibirsk","1941 and 1946"
"Zhementniyi Zavod","Kramatorskaya in Donets Basin","1941"
"Sodovy Zavod (Chemical Plant)","Slavyansk, in Donets Basin","1941"
"Metallurgitchesky Zavod","Stalino in Donets Basin","1930, 1931"
"Zavod gorno-zavodskogo oborudovaniya (former ""Bosse"")","Stalino in Donets Basin","1930-1931"
"Zavod gorno-zavodskogo oborudovaniya","Gorlovka in Donets Basin","1933 and 1940"
"Krivorozhsky Metallurgitchesky Kombinat","Krivoi Rog in Ukraine","1936"
"Zavod #12 (Explosives plant)","Electrostal, Moscow Region","1946"
"Zavod Serp i Molot","Moscow","1946-1947"
"Moskovsky Elektrozavod","Moscow","1933"
"Metallo-rafinerniy Zavod","Nizhne Kotlhi near Moscow","1932"
"Voroshilovogradsky Parovozostroitelnhiy Zavod","Voroshilovgrad in Donets Basin","1941"
"Kolomensky Mashinostroitelnhiy Zavod","Golutvino station near Kolomna, Moscow region","1942, 1946, 1947"
"Uralsky Zavod Tyazhologo Mashinostroeniya imeni Ordzhonikidze (U Z T M imeni Ordzhonikidze)","Sverdlovsk, Ural","1946"
"Orsky Zavod Tyazhologo Mashinostroeniya","Orsk, Chkalov region","1946"
"Alma-atinsky Zavod Tyazhologo Mashinostroeniya","Alma Ata","1946"
"Irkutsky Zavod Tyazhologo Mashinostroeniya","Irkutsk, by Lake Baikal","1946"
"Zavod imeni Yanvarskogo Vosstaniva","Odessa, Ukraine","1946"
"Zavod Nickel","Orsk, Chkalov region","1942"
"Zavod #256 (or #257?, not sure about number of plant) (the plant produced non-ferreous alloys and copper)","Orsk, Chkalov region","1942"
"Zavod #342 (or #348, not sure about number of plant) (part of the Tulsky Oruzheinhiy Zavod)","Orsk, Chkalov region","1942"
Zavod Kreking,"Orsk, Chkalov region",1942
"Metallurgitchesky Kombinat","Orsk region","1942 and 1948"
"Kharkovsky Turbozavod","Kharkov, Ukraine","1941-1948"
"Zavod Krasnhiy Metallist","Leningrad","1947"
"Zavod Krasnhiy Gidropress","Taganrog","1936"
"Kharkovsky Parovozostroitelnhiy Zavod","Kharkiv, Ukraine","1941"
"Poltavsky Parovozoremontnhiy Zavod","Poltava, Ukraine","1930-1947"
"Poltavsky Zavod Metall","Poltava, Ukraine","1930-1938 approx."
"Zavod Borezh","Moscow","1936"
"Metallurgitchesky Zavod Krasnhiy Oktyabr","Stalingrad","1939-1946"
Metallurgitchesky Kombinet Kamhishburunstroy,"Kerch, Crimea",1938 approx.
Zavod Svet Shachtera,"Kharkov, Ukraine",1936
Izhorsky Zavod,"Kolpino, near Leningrad",1945
Sormovsky Mashinostroitelnhiy Zavod,"Sormovo, near Gorki",1936 approx.
Former Putilovsky Zavod (Now Kirovsky Zavod),Leningrad,1936
Poltavskaya Beckonnaya Fabrica,"Poltava, Ukraine",1930
Poltavsky Myasokombinat,"Poltava, Ukraine",1930
Nikolasvsky Sudostroitelnhiy Zavod,"Nikolayev, Ukraine",1936 approx.
Bryansky Mashinostroitelnhiy Zavod,Bryansk,1936 approx.
"Sumoskoy Mashinostroitelnhiy Zavod","Sumy, Kharkov region","1938 approx."
"Zavod Arsenal","Kiev, Ukraine","1930 approx."
"Zavod Elektrostal","Elektrostal Moscow region","1946"
"Zavod Aviablock","Chebarkul, Chelyabinsk region","1942"
"Novorossisky Zementnhiy Zavod","Novorossisk, the Caucasus","1940"
"Aviazavod (was evacuated from c. Taganrog)","Tbilisi, Georgia","1946"
"Zakavkazhsky Metallurgichesky Kombinat","Near Tbilisi, Georgia","1947"
"Bakinski Metallurgichesky Zavod","Baku, Azerbaijan (near Baku)","1946"
"Chelyabinskiy Metallurgichesky zavod","Chelyabinsk region","1946"
"Krasnokholmsky Metallurgichesky Zavod","Alma Ata region","1946"
"Novo-Tyazhelkiy Metallurgichesky Kombinat","Kizhne-Tagil region","1945"
"Zaporozhsky Metallurgichesky Kombinat","Zaporozhe, Ukraine","1941 and 1947"
"Magnitogorsk Metallurgichesky Kombinat","Magnitogorsk","1940"
"Zuyevskiy Metallurgichesky Kombinat","Kuznetski region, Kuznetsk Basin","1940"
"Metal lurgitchesky Zavod Azovstol","Kerch, Crimea","1940"
Zavod Amurstal,"Komsomolsk, Khabarovsk region",1940
"Excavatornhiy Zavod","Kovrov, between Moscow and gorki","1940"
"Batumsky Cracking-Zavod","Batumi, Georgia","1930"
"Metallurgitchesky Zavod # (?) (special plant)","Sartana Station near Taganrog","1940-1941"
"Novosibirsky Prokatnhiy Zavod","Novosibirsk","1942"
"Metallurgitchesky Zavod (former imeni Petrovskogo)","Dnepropetrovsk, Ukraine","1928"
"Metallurgitchesky Zavod","Dneprodzerzhinsk, Ukraine (former Kamenskoe)","1936 approx."
"Archangelsky Sudostroitelnhiy Zavod","Near Archangel","1940"
"Mashinostroitelnhiy Zavod","Buzuluk Kuibyshev region","1947"
"Mashinostroitelnhiy Zavod imeni Kalinina","Voronezh","1941"
